val_BLEU_4,epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_ROUGE_L,val_CIDEr,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_ROUGE_L,test_CIDEr,time,seed,best_model_from,val_METEOR,test_METEOR
0.140091422784709,51,0.4412938023989017,0.4286653346662952,0.2737457074126134,0.1896232821539709,0.3515756497209566,0.373194747474905,0.473132658984728,0.3091884710525124,0.2216248283496164,0.169984500963278,0.3754625642897937,0.5828730056327648,Tue Jan  9 16:06:05 2024,9223,val,,
0.140091422784709,51,0.4412938023989017,0.4286653346662952,0.2737457074126134,0.1896232821539709,0.3515756497209566,0.373194747474905,0.473132658984728,0.3091884710525124,0.2216248283496164,0.169984500963278,0.3754625642897937,0.5828730056327648,Tue Jan  9 16:06:05 2024,9223,test,,
0.1273427304375347,34,0.8060651146448575,0.3814641969118302,0.2434904694245648,0.1701734505273846,0.3409006266769046,0.3912718308775769,0.4115179243602728,0.2649276198828356,0.1879869835572743,0.1421568874198848,0.3541554796069924,0.5007723144466164,Mon Jan 15 04:57:37 2024,64,val,,
0.1168614450439175,30,0.9322499105563532,0.4233424798596805,0.2454568072900979,0.1630948947725043,0.3226015734444549,0.3398899925867956,0.4656488549618073,0.289849084492541,0.2068515303071112,0.1581756777349082,0.3585202033474608,0.588335122633979,Mon Jan 15 04:57:37 2024,64,test,,
0.1466640410026131,29,0.9633212960683384,0.4409428284959188,0.2856765998690915,0.1994384694097369,0.3514210645839483,0.3848205232552085,0.4769837584350356,0.3076510052146116,0.2150979740377459,0.1581874145820785,0.3659429975989421,0.465352574325033,Mon Jan 15 04:57:37 2024,42,val,,
0.1425668503839698,28,1.0009807004378393,0.4491226721930567,0.2854682929922985,0.197568770620644,0.3491045676388642,0.377741920906846,0.4927333074144827,0.3154763421902891,0.2216753479785358,0.162742744954367,0.3671203973416596,0.4791848232334864,Mon Jan 15 04:57:37 2024,42,test,,
0.1324497771567863,34,0.8752157904885032,0.4081117158752244,0.2629796148237282,0.1813793153513959,0.348405006280185,0.2898468951419934,0.4487987845121589,0.2881777698139897,0.1990036307944506,0.1464267439967586,0.3638179520921514,0.3999833454341585,Thu Jan 18 18:33:40 2024,9223,val,0.1755068596662477,0.1896871843966138
0.1324497771567863,34,0.8752157904885032,0.4081117158752244,0.2629796148237282,0.1813793153513959,0.348405006280185,0.2898468951419934,0.4487987845121589,0.2881777698139897,0.1990036307944506,0.1464267439967586,0.3638179520921514,0.3999833454341585,Thu Jan 18 18:33:40 2024,9223,test,0.1755068596662477,0.1896871843966138
0.1446165969750617,50,0.6147200112993066,0.4185520503316172,0.2719608439173049,0.1912511740363051,0.3674678098540473,0.4371088950392489,0.4577759019927318,0.29771586310018,0.208305465944196,0.1535578902209351,0.3799447823997666,0.4578950845829369,Fri Jan 19 07:18:59 2024,9223,val,0.1806043459545291,0.1971135717298167
0.1205458408275416,39,0.8671424226327376,0.4098930934306369,0.2446824615732615,0.1655110080781159,0.3288452918472681,0.3390880635513436,0.4565463867427219,0.2897058080724336,0.2084111898415986,0.1605889908429447,0.3628967296786281,0.6404705114210006,Fri Jan 19 07:18:59 2024,9223,test,0.1616853628843714,0.1855426963711783
